Date,Open,High,Low,Close,Adj Close,Volume
2020-10-29,58200.000000,58500.000000,57500.000000,58100.000000,56174.277344,22636966
2020-10-30,58000.000000,58000.000000,56600.000000,56600.000000,54723.996094,26907844
2020-11-02,56400.000000,57500.000000,56000.000000,57400.000000,55497.480469,20489076
2020-11-03,57900.000000,58900.000000,57600.000000,58800.000000,56851.078125,14950919
2020-11-04,58900.000000,59000.000000,57800.000000,58500.000000,56561.019531,21718561
2020-11-05,59000.000000,60300.000000,58800.000000,60300.000000,58301.359375,20639475
2020-11-06,60700.000000,60800.000000,59600.000000,60100.000000,58107.988281,16910230
2020-11-09,60700.000000,60900.000000,60100.000000,60200.000000,58204.671875,15892961
2020-11-10,60500.000000,60500.000000,59500.000000,60200.000000,58204.671875,19073552
2020-11-11,60700.000000,61400.000000,60400.000000,61300.000000,59268.210938,25628510
2020-11-12,61000.000000,61400.000000,60700.000000,61000.000000,58978.156250,19800573
2020-11-13,61300.000000,63200.000000,61000.000000,63200.000000,61105.242188,31508829
2020-11-16,64000.000000,66700.000000,63900.000000,66300.000000,64102.488281,36354334
2020-11-17,67000.000000,67000.000000,65600.000000,65700.000000,63522.375000,30204089
2020-11-18,65700.000000,66200.000000,64700.000000,64800.000000,62652.207031,22963790
2020-11-19,64100.000000,64800.000000,63900.000000,64600.000000,62458.835938,16590290
2020-11-20,63900.000000,65200.000000,63900.000000,64700.000000,62555.523438,15068682
2020-11-23,64800.000000,67800.000000,64700.000000,67500.000000,65262.710938,27134398
2020-11-24,67900.000000,69500.000000,67000.000000,67700.000000,65456.085938,32158235
2020-11-25,67900.000000,68300.000000,66500.000000,66600.000000,64392.542969,32447065
2020-11-26,66100.000000,68000.000000,66000.000000,68000.000000,65746.140625,19023323
2020-11-27,68000.000000,68400.000000,67600.000000,68200.000000,65939.515625,14063434
2020-11-30,68400.000000,68600.000000,66700.000000,66700.000000,64489.230469,43811016
2020-12-01,67100.000000,68300.000000,67100.000000,67800.000000,65552.765625,22327173
2020-12-02,68400.000000,69900.000000,68300.000000,69500.000000,67196.429688,29703942
2020-12-03,70100.000000,70500.000000,69300.000000,69700.000000,67389.796875,23677989
2020-12-04,70400.000000,72100.000000,70100.000000,71500.000000,69130.132813,28130533
2020-12-07,72400.000000,73500.000000,71900.000000,72900.000000,70483.726563,28490496
2020-12-08,72200.000000,72900.000000,71600.000000,71700.000000,69323.507813,25000338
2020-12-09,72100.000000,73900.000000,72000.000000,73900.000000,71450.585938,24077996
2020-12-10,72700.000000,73800.000000,72500.000000,72900.000000,70483.726563,39882928
2020-12-11,73500.000000,73800.000000,73100.000000,73400.000000,70967.156250,18486672
2020-12-14,73600.000000,74500.000000,73200.000000,73800.000000,71353.898438,21510415
2020-12-15,73800.000000,74100.000000,73300.000000,73800.000000,71353.898438,20863671
2020-12-16,74100.000000,74500.000000,73400.000000,73800.000000,71353.898438,17512081
2020-12-17,73400.000000,73700.000000,72600.000000,73300.000000,70870.468750,24293214
2020-12-18,73300.000000,73700.000000,73000.000000,73000.000000,70580.414063,17613029
2020-12-21,73100.000000,73400.000000,72000.000000,73000.000000,70580.414063,20367355
2020-12-22,72500.000000,73200.000000,72100.000000,72300.000000,69903.617188,16304910
2020-12-23,72400.000000,74000.000000,72300.000000,73900.000000,71450.585938,19411326
2020-12-24,74100.000000,78800.000000,74000.000000,77800.000000,75221.328125,32502870
2020-12-28,79000.000000,80100.000000,78200.000000,78700.000000,76091.492188,40085044
2020-12-29,78800.000000,78900.000000,77300.000000,78300.000000,77609.992188,30339449
2020-12-30,77400.000000,81300.000000,77300.000000,81000.000000,80286.203125,29417421
2021-01-04,81000.000000,84400.000000,80200.000000,83000.000000,82268.570313,38655276
2021-01-05,81600.000000,83900.000000,81600.000000,83900.000000,83160.648438,35335669
2021-01-06,83300.000000,84500.000000,82100.000000,82200.000000,81475.625000,42089013
2021-01-07,82800.000000,84200.000000,82700.000000,82900.000000,82169.460938,32644642
2021-01-08,83300.000000,90000.000000,83000.000000,88800.000000,88017.460938,59013307
2021-01-11,90000.000000,96800.000000,89500.000000,91000.000000,90198.078125,90306177
2021-01-12,90300.000000,91400.000000,87800.000000,90600.000000,89801.593750,48682416
2021-01-13,89800.000000,91200.000000,89100.000000,89700.000000,88909.531250,36068848
2021-01-14,88700.000000,90000.000000,88700.000000,89700.000000,88909.531250,26393970
2021-01-15,89800.000000,91800.000000,88000.000000,88000.000000,87224.507813,33431809
2021-01-18,86600.000000,87300.000000,84100.000000,85000.000000,84250.953125,43227951
2021-01-19,84500.000000,88000.000000,83600.000000,87000.000000,86233.320313,39895044
2021-01-20,89000.000000,89000.000000,86500.000000,87200.000000,86431.562500,25211127
2021-01-21,87500.000000,88600.000000,86500.000000,88100.000000,87323.632813,25318011
